Account,date,sentiment_binary,classification,value,total_pnl,num_trades,num_winning,num_losing,avg_trade_size,total_volume,avg_execution_price,num_buys,num_sells,total_fees,max_pnl,min_pnl,win_rate,long_short_ratio,net_pnl,is_profitable,pnl_range
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,Greed,Extreme Greed,90.0,161.289904,95,34,10,353.5228421052631,33584.67,4529.705327031579,45,50,10.251629,46.7695,-4.13628,0.35789473684210527,0.8999999999982,151.038275,1,50.90578
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,Greed,Extreme Greed,83.0,147.410285,162,67,26,666.941975308642,108044.6,7695.956849493827,71,91,37.465806,29.455191,-16.197158,0.41358024691358025,0.7802197802189228,109.94447899999999,1,45.652349
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,Greed,Extreme Greed,90.0,233.36546,213,104,15,895.9638028169014,190840.29,9532.429555676057,115,98,66.816663,37.093,-67.4425,0.48826291079812206,1.1734693877539046,166.548797,1,104.5355
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,Greed,Extreme Greed,83.0,-316.245208,407,141,77,2149.553218673219,874868.16,4020.9424225773955,188,219,298.312315,19.2,-126.64582,0.3464373464373464,0.8584474885840829,-614.557523,0,145.84582
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,Greed,Extreme Greed,82.0,780.001314,446,156,79,729.007130044843,325137.18,2495.4443368878924,223,223,111.648962,91.25,-34.338,0.34977578475336324,0.9999999999995516,668.352352,1,125.588
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,Greed,Extreme Greed,94.0,141.21958999999998,433,135,94,422.0099076212471,182730.29,2050.2386778799078,208,225,62.202151,36.777943,-20.579328,0.3117782909930716,0.9244444444440336,79.01743899999998,1,57.357271
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,Greed,Extreme Greed,93.0,673.6312,156,63,14,333.45923076923077,52019.64,2959.9620601666666,76,80,17.776025,71.45366,-6.787575,0.40384615384615385,0.9499999999988125,655.855175,1,78.241235
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,Greed,Extreme Greed,80.0,108.321127,69,29,6,200.7391304347826,13851.0,3271.243225942029,54,15,4.469844,9.72111,-2.127416,0.42028985507246375,3.599999999976,103.85128300000001,1,11.848526
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,Greed,Extreme Greed,82.0,464.281002,225,95,44,324.3673333333333,72982.65,3717.6363890400003,106,119,24.451253,108.753655,-25.09574,0.4222222222222222,0.8907563025202598,439.829749,1,133.849395
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,Greed,Extreme Greed,79.0,-508.290641,217,76,40,1012.5778341013826,219729.39,4655.1879498801845,127,90,75.523391,19.4195,-166.449,0.35023041474654376,1.4111111111095431,-583.814032,0,185.8685
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,Greed,Extreme Greed,75.0,193.66415899999998,169,74,19,1110.83224852071,187730.65,460.39081562721896,69,100,62.761001,47.562332,-240.452221,0.4378698224852071,0.6899999999993099,130.903158,1,288.014553
